English,IPA,Vietnamese
president,´prezidənt,hiệu trưởng chủ tịnh tổng thống
press,pres,sự ép sự nén sự ấn; ép nén bóp ấn
pressure,preʃə,sức ép áp lực áp suất
presumably,pri'zju:məbli,có thể được có lẽ
pretend,pri'tend,giả vờ giả bộ làm ra vẻ
pretty,priti,khá vừa phải; xinh xinh xắn; đẹp
prevent,pri'vent,ngăn cản ngăn chặn ngăn ngừa
previous,ˈpriviəs,vội vàng hấp tấp; trước (vd ngày hôm trước) ưu tiên
previously,´pri:viəsli,trước trước đây
price,prais,giá
pride,praid,sự kiêu hãnh sự hãnh diện; tính kiêu căng tự phụ
priest,pri:st,linh mục thầy tu
primary,praiməri,nguyên thủy đầu tiên; thời cổ đại nguyên sinh; sơ cấp tiểu
primarily,´praimərili,trước hết đầu tiên
prime minister,´ministə,thủ tướng
prince,prins,hoành tử
princess,prin'ses,công chúa
principle,ˈprɪnsəpəl,cơ bản chủ yếu; nguyên lý nguyên tắc
print,print,in xuất bản; sự in ra
printing,´printiη,sự in thuật in kỹ sảo in
printer,´printə,máy in thợ in
prior,praɪə(r),trước ưu tiên
priority,prai´ɔriti,sự ưu tế quyền ưu tiên
prison,ˈprɪzən,nhà tù
prisoner,ˈprɪzənə(r),tù nhân
private,ˈpraɪvɪt,cá nhân riêng
privately,ˈpraɪvɪtli,riêng tư cá nhân
prize,praiz,giải giải thưởng
probable,´prɔbəbl,có thể có khả năng
probably,´prɔbəbli,hầu như chắc chắn
problem,prɔbləm,vấn đề điều khó giải quyết
procedure,prə´si:dʒə,thủ tục
proceed,proceed,tiến lên theo duổi tiếp diễn
process,prouses,quá trình sự tiến triển quy trình; chế biến gia công xử lý
produce,prɔdju:s,sản xuất chế tạo
producer,prə´dju:sə,nhà sản xuất
product,´prɔdʌkt,sản phẩm
production,prə´dʌkʃən,sự sản xuất chế tạo
profession,prə´feʃ(ə)n,nghề nghề nghiệp
professional,prə'feʃənl,(thuộc) nghề nghề nghiệp; chuyên nghiệp
professor,prəˈfɛsər,giáo sư giảng viên
profit,ˈprɒfɪt,thuận lợi lợi ích lợi nhuận
program,´prougræm,chương trình; lên chương trình
programme (BrE),´prougræm,chương trình
progress,prougres,sự tiến tới sự tiến triển; tiến bộ tiến triển phát triển
project,ˈprɒdʒɛkt ˈprɒdʒɪkt ; prəˈdʒɛkt,đề án dự án kế hoạch; dự kiến kế hoạch
promote,prəˈmoʊt,thăng chức thăng cấp
promotion,prə'mou∫n,sự thăng chức sự thăng cấp
prompt,prɒmpt,mau lẹ nhanh chóng; xúi giục nhắc nhở
promptly,´prɔmptli,mau lẹ ngay lập tức
pronounce,prəˈnaʊns,tuyên bố thông báo phát âm
pronunciation,prə¸nʌnsi´eiʃən,sự phát âm
proof,pru:f,chứng chứng cớ bằng chứng; sự kiểm chứng
proper,prɔpə,đúng thích đáng thích hợp
properly,´prɔpəli,một cách đúng đắn một cách thích đáng
property,prɔpəti,tài sản của cải; đất đai nhà cửa bất động sản
proportion,prə'pɔ:ʃn,sự cân xứng sự cân đối
proposal,prə'pouzl,sự đề nghị đề xuất
propose,prǝ'prouz,đề nghị đề xuất đưa ra
prospect,´prɔspekt,viễn cảnh toàn cảnh; triển vọng mong chờ
protect,prə'tekt,bảo vệ che chở
protection,prə'tek∫n,sự bảo vệ sự che chở
protest,ˈprəʊtest,sự phản đối sự phản kháng; phản đối phản kháng
proud,praud,tự hào kiêu hãnh
proudly,proudly,một cách tự hào một cách hãnh diện
prove,pru:v,chứng tỏ chứng minh
provide,prə'vaid,chuẩn bị đầy đủ dự phòng; cung cấp chu cấp
provided (alsoviding),prə´vaidid,với điều kiện là miễn là
pint,paint,panh (= 0 58 lít (E);=0 473 lít (A));
public,pʌblik,chung công cộng; công chúng nhân dân
publicly,pΔblikli,công khai công cộng
publication,ˌpʌblɪˈkeɪʃən,sự công bố; sự xuất bản
publicity,pʌb'lɪsətɪ,sự công khai sự quảng cáo
publish,pʌbli∫,công bố ban bố; xuất bản
publishing,´pʌbliʃiη,công việc nghề xuất bản
pull,pul,lôi kéo giật; sự lôi kéo sự giật
punch,pʌntʃ,đấm thụi; quả đấm cú thụi
punish,pʌniʃ,phạt trừng phạt
punishment,pʌniʃmənt,sự trừng phạt sự trừng trị
pupil (especially BrE),ˈpju:pl,học sinh
purchase,pə:t∫əs,sự mua sự tậu; mua sắm tậu
pure,pjuə(r),nguyên chất tinh khiết trong lành
purely,´pjuəli,hoàn toàn chỉ là
purple,ˈpɜrpəl,tía có màu tía; màu tía
purpose,pə:pəs,mục đích ý định
pursue,pə'sju:,đuổi theo đuổi bắt
push,puʃ,xô đẩy; sự xô đẩy
put,put,đặt để cho vào
qualification,kwalifi'keiSn,phẩm chất năng lực; khả năng chuyên môn
qualify,´kwɔli¸fai,đủ khả năng đủ tư cách điều kiện
qualified,ˈkwɒləˌfaɪd,đủ tư cách điều kiện khả năng
quality,kwɔliti,chất lượng phẩm chất
quantity,ˈkwɒntɪti,lượng số lượng
quarter,kwɔ:tə,1
queen,kwi:n,nữ hoàng
question,ˈkwɛstʃən,câu hỏi; hỏi chất vấn
quick,kwik,nhanh
quickly,´kwikli,nhanh
quiet,kwaiət,lặng yên lặng yên tĩnh
quietly,kwiətli,lặng yên lặng yên tĩnh
quit,kwit,thoát thoát ra
quite,kwait,hoàn toàn hầu hết
quote,kwout,trích dẫn
race,reis,loài chủng giống; cuộc đua; đua
racing,´reisiη,cuộc đua
radio,´reidiou,sóng vô tuyến radio
rail,reil,đường ray
railway (BrE) (NAmE railroad),reilwei,đường sắt
rain,rein,mưa cơn mưa; mưa
raise,reiz,nâng lên đưa lên ngẩng lên
range,reɪndʒ,dãy hàng loại; phạm vi trình độ
rank,ræɳk,hàng dãy; sắp xếp thành hàng dãy
rapid,ræpid,nhanh nhanh chóng
rapidly,ræpidli,nhanh nhanh chóng
rare,reə,hiếm ít
rarely,reзli,hiếm khi ít khi
rate,reit,tỷ lệ tốc độ
rather,rɑ:ðə,thà còn hơn thích hơn
raw,rɔ:,sống (# chín) thô còn nguyên chất
reach,ri:tʃ,đến đi đến tới
react,ri´ækt,tác động trở lại phản ứng
reaction,ri:'ækʃn,sự phản ứng; sự phản tác dụng
read,ri:d,đọc
reading,´ri:diη,sự đọc
reader,´ri:də,người đọc độc giả
ready,redi,sẵn sàng
real,riəl,thực thực tế có thật
really,riəli,thực thực ra thực sự
realistic,ri:ə'listik; BrE also riə-,hiện thực
reality,ri:'æliti,sự thật thực tế thực tại
realize (BrE also -ise),riəlaiz,thực hiện thực hành
rear,rɪər,phía sau; ở đằng sau ở đằng sau
reason,ri:zn,lý do lý lẽ
reasonable,´ri:zənəbl,có lý hợp lý
reasonably,´ri:zənəblli,hợp lý
unreasonable,ʌnˈrizənəbəl,vô lý
recall,ri´kɔ:l,gọi về triệu hồi; nhặc lại gợi lại
receipt,ri´si:t,công thức; đơn thuốc
receive,ri'si:v,nhận lĩnh thu
recent,´ri:sənt,gần đây mới đây
recently,´ri:səntli,gần đây mới đây
reception,ri'sep∫n,sự nhận sự tiếp nhận sự đón tiếp
reckon,rekən,tính đếm
recognition,rekəg'niʃn,sự công nhận sự thừa nhận
recognize (BrE also -ise),rekəgnaiz,nhận ra nhận diện; công nhận thừa nhận
recommend,rekə'mend,giới thiệu tiến cử; đề nghị khuyên bảo
record,´rekɔ:d,bản ghi sự ghi bản thu sự thu; thu ghi chép
recording,ri´kɔ:diη,sự ghi sự thu âm
recover,ri:'kʌvə,lấy lại giành lại
red,red,đỏ; màu đỏ
reduce,ri'dju:s,giảm giảm bớt
reduction,ri´dʌkʃən,sự giảm giá sự hạ giá
reference,refərəns,sự tham khảo hỏi ýe kiến
reflect,ri'flekt,phản chiếu phản hồi phản ánh
reform,ri´fɔ:m,cải cách cải thiện cải tạo; sự cải cách sự cải thiện cải tạo
refrigerator,ri'fridЗзreitз,tủ lạnh
refusal,ri´fju:zl,sự từ chối sự khước từ
refuse,rɪˈfyuz,từ chối khước từ
regard,ri'gɑ:d,nhìn đánh giá; cái nhìn sự quan tâm sự chú ý (lời chúc tụng
regarding,ri´ga:diη,về về việc đối với (vấn đề)
region,ri:dʒən,vùng miền
regional,ˈridʒənl,vùng địa phương
register,redʤistə,đăng ký ghi vào sổ; sổ sổ sách máy ghi
regret,ri'gret,đáng tiếc hối tiếc; lòng thương tiếc sự hối tiếc
regular,rəgjulə,thường xuyên đều đặn
regularly,´regjuləli,đều đặn thường xuyên
regulation,¸regju´leiʃən,sự điều chỉnh điều lệ quy tắc
reject,ri:ʤekt,không chấp nhận loại bỏ bác bỏ
relate,ri'leit,kể lại thuật lại; liên hệ liên quan
related (to),ri'leitid,có liên quan có quan hệ với ai cái gì
relation,ri'leiʃn,mối quan hệ sự liên quan liên lạc
relationship,ri'lei∫ən∫ip,mối quan hệ mối liên lạc
relative,relətiv,có liên quan đến; người có họ đại từ quan hệ
relatively,relətivli,có liên quan có quan hệ
relax,ri´læks,giải trí nghỉ ngơi
relaxed,ri´lækst,thanh thản thoải mái
relaxing,ri'læksiɳ,làm giảm bớt căng thẳng
release,ri'li:s,làm nhẹ bớt thả phóng thích phát hành; sự giải thoát thoát
relevant,´reləvənt,thích hợp có liên quan
relief,ri'li:f,sự giảm nhẹ sự làm cho khuây khỏa; sự trợ cấo; sự đền bù
religion,rɪˈlɪdʒən,tôn giáo
religious,ri'lidʒəs,(thuộc) tôn giáo
rely on,ri´lai,tin vào tin cậy tin tưởng vào
remain,riˈmein,còn lại vẫn còn như cũ
remaining,ri´meiniη,còn lại
remains,re'meins,đồ thừa cái còn lại
remark,ri'mɑ:k,sự nhận xét phê bình sự để ý chú ý; nhận xét phê bình để ý
remarkable,ri'ma:kəb(ə)l,đáng chú ý đáng để ý; khác thường
remarkably,ri'ma:kəb(ə)li,đáng chú ý đáng để ý; khác thường
remember,rɪˈmɛmbər,nhớ nhớ lại
remind,riˈmaind,nhắc nhở gợi nhớ
remote,ri'mout,xa xa xôi xa cách
removal,ri'mu:vəl,viêc di chuyển việc dọn nhà dời đi
remove,ri'mu:v,dời đi di chuyển
rent,rent,sự thuê mướn; cho thuê thuê
rented,rentid,được thuê được mướn
repair,ri'peə,sửa chữa chỉnh tu; sự sửa chữa sự chỉnh tu
repeat,ri'pi:t,
repeated,ri´pi:tid,được nhắc lại được lặp lại
repeatedly,ri´pi:tidli,lặp đi lặp lại nhiều lần
replace,rɪpleɪs,thay thế
reply,ri'plai,sự trả lời sự hồi âm; trả lời hồi âm
report,ri'pɔ:t,báo cáo tường trình; bản báo cáo bản tường trình
represent,repri'zent,miêu tả hình dung; đại diện thay mặt
representative,repri'zentətiv,điều tiêu biểu tượng trưng mẫu; miêu tả biểu
reproduce,ri:prə'dju:s,tái sản xuất
reputation,repju:'teiʃn,sự nổi tiếng nổi danh
request,ri'kwest,lời thỉnh cầu lời đề nghị yêu cầu; thỉnh cầu đề nghị yêu cầu
require,ri'kwaiə(r),đòi hỏi yêu cầu quy định
requirement,rɪˈkwaɪərmənt,nhu cầu sự đòi hỏi; luật lệ thủ tục
rescue,´reskju:,giải thoát cứu nguy; sự giải thoát sự cứu nguy
research,ri'sз:tʃ,sự nghiên cứu
reservation,rezəveɪʃən,sự hạn chế điều kiện hạn chế
reserve,ri'zЗ:v,dự trữ để dành đặt trước đăng ký trước; sự dự trữ sự để dành
resident,rezidənt,người sinh sống trú ngụ khách trọ; có nhà ở cư trú
resist,ri'zist,chống lại phản đổi kháng cự
resistance,ri´zistəns,sự chống lại sự phản đối sự kháng cự
resolve,ri'zɔlv,quyết định kiên quyết (làm gì); giải quyết (vấn đề khó khă)
resort,ri´zɔ:t,kế sách phương kế
resource,ri'so:s,tài nguyên; kế sách thủ đoạn
respect,riˈspekt,sự kính trọng sự lễ phép; tôn trọng kính trọng khâm phục
respond,ri'spond,hưởng ứng phản ứng lại trả lời
response,rɪˈspɒns,sự trả lời câu trả lời sự hưởng ứng sự đáp lại
responsibility,risponsз'biliti,trách nhiệm sự chịu trách nhiệm
responsible,ri'spɔnsəbl,chịu trách nhiệm về chịu trách nhiệm trước ai gì
rest,rest,sự nghỉ ngơi lúc nghỉ; nghỉ nghỉ ngơi
restaurant,´restərɔn,nhà hàng ăn hiệu ăn
restore,ris´tɔ:,hoàn lại trả lại; sửa chữa lại phục hồi lại
restrict,ris´trikt,hạn chế giới hạn
restricted,ris´triktid,bị hạn chế có giới hạn; vùng cấm
restriction,ri'strik∫n,sự hạn chế sự giới hạn
result,ri'zʌlt,kết quả; bởi do mà ra kết quả là
retain,ri'tein,giữ lại nhớ được
retire,ri´taiə,rời bỏ rút về; thôi nghỉ việc về hưu
retired,ri´taiəd,ẩn dật hẻo lánh đã về hưu đã nghỉ việc
retirement,rɪˈtaɪərmənt,sự ẩn dật nơi hẻo lánh sự về hưu sự nghỉ việc
return,ri'tə:n,trở lại trở về; sự trở lại sự trở về
reveal,riˈvi:l,bộc lộ biểu lộ tiết lộ; phát hiện khám phá
reverse,ri'və:s,đảo ngược lại; điều trái ngược mặt trái
review,ri´vju:,sự xem lại sự xét lại; làm lại xem xét lại
revise,ri'vaiz,đọc lại xem lại sửa lại ôn lại
revision,ri´viʒən,sự xem lại sự đọc lại sự sửa lại sự ôn lại
revolution,revə'lu:ʃn,cuộc cách mạng
reward,ri'wɔ:d,sự thưởng phần thưởng; thưởng thưởng công
rhythm,riðm,nhịp điệu
rice,raɪs,gạo thóc cơm; cây lúa
rich,ritʃ,giàu giàu có
rid,rid,giải thoát (get rid of : tống khứ)
ride,raid,đi cưỡi (ngựa); sự đi đường đi
riding,´raidiη,môn thể thao cưỡi ngựa sự đi xe (bus điện xe đạp)
rider,´raidə,người cưỡi ngựa người đi xe đạp
ridiculous,rɪˈdɪkyələs,buồn cười lố bịch lố lăng
right,rait,thẳng phải tốt; ngay đúng; điều thiện điều phải tốt bên
rightly,´raitli,đúng phải có lý
ring,riɳ,chiếc nhẫn đeo nhẫn cho ai
rise,raiz,sự lên sự tăng lương thăng cấp; dậy đứng lên mọc (mặt trời) thành
risk,risk,sự liều mạo hiểm; liều
rival,raivl,đối thủ địch thủ; đối địch cạnh tranh
river,rivə,sông
road,roʊd,con đường đường phố
rob,rɔb,cướp lấy trộm
rock,rɔk,đá
role,roul,vai (diễn) vai trò
roll,roul,cuốn cuộn sự lăn tròn; lăn cuốn quấn cuộn
romantic,roʊˈmæntɪk,lãng mạn
roof,ru:f,mái nhà nóc
room,rum,phòng buồng
root,ru:t,gốc rễ
rope,roʊp,dây cáp dây thừng xâu chuỗi
rough,rᴧf,gồ ghề lởm chởm
roughly,rʌfli,gồ ghề lởm chởm
round,raund,tròn vòng quanh xung quanh
rounded,´raundid,bị làm thành tròn; phát triển đầy đủ
route,ru:t,đường đi lộ trình tuyến đường
routine,ru:'ti:n,thói thường lệ thường thủ tục; thường lệ thông thường
row NAmE,rou,hàng dãy
royal,ˈrɔɪəl,(thuộc) vua nữ hoàng hoàng gia
rub,rʌb,cọ xát xoa bóp nghiền tán
rubber,´rʌbə,cao su
rubbish (especially BrE),ˈrʌbɪʃ,vật vô giá trị bỏ đi rác rưởi
rude,ru:d,bất lịch sự thô lỗ; thô sơ đơn giản
rudely,ru:dli,bất lịch sự thô lỗ; thô sơ đơn giản
ruin,ru:in,làm hỏng làm đổ nát làm phá sản; sự hỏng sự đổ nát sự phá sản
ruined,ru:ind,bị hỏng bị đổ nát bị phá sản
rule,ru:l,quy tắc điều lệ luật lệ; cai trị chỉ huy điều khiển
ruler,´ru:lə,người cai trị người trị vì; thước kẻ
rumour,ˈrumər,tin đồn lời đồn
run,rʌn,chạy; sự chạy
running,rʌniɳ,sự chạy cuộc chạy đua
runner,´rʌnə,người chạy
rural,´ruərəl,(thuộc) nông thôn vùng nông thôn
rush,rʌ∫,xông lên lao vào xô đẩy; sự xông lên sự lao vào sự xô đẩy
sack,sæk,bào tải; đóng bao bỏ vào bao
sad,sæd,buồn buồn bã
sadly,sædli,một cách buồn bã đáng buồn là không may mà
sadness,sædnis,sự buồn rầu sự buồn bã
safe,seif,an toàn chắc chắn đáng tin
safely,seifli,an toàn chắc chắn đáng tin
safety,seifti,sự an toàn sự chắc chăn
sail,seil,đi tàu thuyền nhổ neo; buồm cánh buồm chuyến đi bằng thuyền
sailing,seiliɳ,sự đi thuyền
sailor,seilə,thủy thủ
salad,sæləd,sa lát (xà lách trộng dầu dấm); rau sống
salary,ˈsæləri,tiền lương
sale,seil,việc bán hàng
salt,sɔ:lt,muối
salty,´sɔ:lti,chứ vị muối có muối mặn
same,seim,đều đều đơn điệu; cũng như thế vẫn cái đó
sample,´sa:mpl,mẫu hàng mẫu
sand,sænd,cát
satisfaction,sætis'fæk∫n,sự làm cho thỏa mãn toại nguyện; sự trả nợ bồi thường
satisfy,sætisfai,làm thỏa mãn hài lòng; trả (nợ) chuộc tội
satisfied,sætisfaid,cảm thấy hài lòng vừa ý thoả mãn
satisfying,sætisfaiiη,đem lại sự thỏa mãn làm thỏa mãn làm vừa ý
Saturday (abbr Sat),sætədi,thứ 7
sauce,sɔ:s,nước xốt nước chấm
save,seiv,cứu lưu
saving,´seiviη,sự cứu sự tiết kiệm
say,sei,nói
scale,skeɪl,vảy (cá)
scare,skɛə,làm kinh hãi sợ hãi dọa; sự sợ hãi sự kinh hoàng
scared,skerd,bị hoảng sợ bị sợ hãi
scene,si:n,cảnh phong cảnh
schedule,´ʃkedju:l,kế hoạch làm việc bản liệt kê; lên thời khóa biểu lên kế
scheme,ski:m,sự sắp xếp sự phối hợp; kế hoạch thực hiện; lược đồ sơ đồ
school,sku:l,đàn cá bầy cá
science,saiəns,khoa học khoa học tự nhiên
scientific,saiən'tifik,(thuộc) khoa học có tính khoa học
scientist,saiəntist,nhà khoa học
scissors,´sizəz,cái kéo
score,skɔ:,điểm số bản thắng tỷ số; đạt được thành công cho điểm
scratch,skrætʃ,cào làm xước da; sự cào sự trầy xước da
scream,skri:m,gào thét kêu lên; tiếng thét tiếng kêu to
screen,skrin,màn che màn ảnh màn hình; phim ảnh nói chung
screw,skru:,đinh vít đinh ốc; bắt vít bắt ốc
sea,si:,biển
seal,si:l,hải cẩu; săn hải cẩu
search,sə:t∫,sự tìm kiếm sự thăm dò sự điều tra; tìm kiếm thăm dò điều tra
season,´si:zən,mùa
seat,si:t,ghế chỗ ngồi
second ordinal number,ˈsɛkənd,thứ hai ở vị trí thứ 2 thứ nhì; người
secondary,´sekəndəri,trung học thứ yếu
secret,si:krit,bí mật; điều bí mật
secretly,si:kritli,bí mật riêng tư
secretary,sekrətri,thư ký
section,sekʃn,mục phần
sector,ˈsɛktər,khu vực lĩnh vực
secure,si'kjuə,chắc chắn đảm bảo; bảo đảm giữ an ninh
security,siˈkiuəriti,sự an toàn sự an ninh
see,si:,nhìn nhìn thấy quan sát
seed,sid,hạt hạt giống
seek,si:k,tìm tìm kiếm theo đuổi
seem linking,si:m,có vẻ như dường như
select,si´lekt,chọn lựa chọn lọc
selection,si'lekʃn,sự lựa chọn sự chọc lọc
self,self,bản thân mình
sell,sel,bán
senate,´senit,thượng nghi viện ban giám hiệu
senator,ˈsɛnətər,thượng nghị sĩ
send,send,gửi phái đi
senior,si:niə,nhiều tuổi hơn dành cho trẻ em trên 11t; người lớn tuổi hơn
sense,sens,giác quan tri giác cảm giác
sensible,sensəbl,có óc xét đoán; hiểu nhận biết được
sensitive,sensitiv,dễ bị thương dễ bị hỏng; dễ bị xúc phạm
sentence,sentəns,câu
separate,seprət,khác nhau riêng biệt; làm rời tách ra chia tay
separated,seprətid,ly thân
separately,seprətli,không cùng nhau thành người riêng vật riêng
separation,¸sepə´reiʃən,sự chia cắt phân ly sự chia tay ly thân
September (abbr Sept),sep´tembə,tháng 9
series,ˈsɪəriz,loạt dãy chuỗi
serious,siəriəs,đứng đắn nghiêm trang
seriously,siəriəsli,đứng đắn nghiêm trang
servant,sə:vənt,người hầu đầy tớ
serve,sɜ:v,phục vụ phụng sự
service,sə:vis,sự phục vụ sự hầu hạ
session,seʃn,buổi họp phiên họp buổi phiên
set,set,bộ bọn đám lũ; đặt để bố trí
settle,ˈsɛtl,giải quyết dàn xếp hòa giải đặt bố trí
several,sevrəl,vài
severe,səˈvɪər,khắt khe gay gắt (thái độ cư xử); giản dị mộc mạc (kiểu cách trang phục dung nhan)
severely,sə´virli,khắt khe gay gắt (thái độ cư xử); giản dị mộc mạc (kiểu
sew,soʊ,may khâu
sewing,´souiη,sự khâu sự may vá
sex,seks,giới giống
sexual,seksjuəl,giới tính các vấn đề sinh lý
sexually,sekSJli,giới tính các vấn đề sinh lý
shade,ʃeid,bóng bóng tối
shadow,ˈʃædəu,bóng bóng tối bóng râm bóng mát
shake,ʃeik,rung lắc giũ; sự rung sự lắc sự giũ
shall modal,ʃæl,dự đoán tương lai: sẽ
shallow,ʃælou,nông cạn
shame,ʃeɪm,sự xấu hổ thẹn thùng sự ngượng
shape,ʃeip,hình hình dạng hình thù
shaped,ʃeipt,có hình dáng được chỉ rõ
share,ʃeə,đóng góp tham gia chia sẻ; phần đóng góp phần tham gia phần
sharp,ʃɑrp,sắc nhọn bén
sharply,ʃɑrpli,sắc nhọn bén
shave,ʃeiv,cạo (râu) bào đẽo (gỗ)
she,ʃi:,nó bà ấy chị ấy cô ấy
sheep,ʃi:p,con cừu
sheet,ʃi:t,chăn khăn trải giường; lá tấm phiến tờ
shelf,ʃɛlf,kệ ngăn giá
shell,ʃɛl,vỏ mai; vẻ bề ngoài
shelter,ʃeltə,sự nương tựa sự che chở sự ẩn náu; che chở bảo vệ
shift,ʃift,đổi chỗ dời chỗ chuyển giao; sự thay đổi sự luân phiên
shine,ʃain,chiếu sáng tỏa sáng
shiny,∫aini,sáng chói bóng
ship,ʃɪp,tàu tàu thủy
shirt,ʃɜːt,áo sơ mi
shock,Sok,sự đụng chạm va chạm sự kích động sự choáng; chạm mạnh va
shocking,´ʃɔkiη,gây ra căm phẫn tồi tệ gây kích động
shocked,Sok,bị kích động bị va chạm bị sốc
shoe,ʃu:,giày
shoot,ʃut,vụt qua chạy qua ném phóng bắn; đâm ra trồi ra
shooting,∫u:tiη,sự bắn sự phóng đi
shop,ʃɔp,cửa hàng; đi mua hầng đi chợ
shopping,ʃɔpiɳ,sự mua sắm
short,ʃɔ:t,ngắn cụt
shortly,´ʃɔ:tli,trong thời gian ngắn sớm
shot,ʃɔt,đạn viên đạn
should modal,ʃud ʃəd ʃd,nên
shoulder,ʃouldə,vai
shout,ʃaʊt,hò hét reo hò; sự la hét sự hò reo
show,ʃou,biểu diễn trưng bày; sự biểu diễn sự bày tỏ
shower,´ʃouə,vòi hoa sen sự tắm vòi hoa sen
shut,ʃʌt,đóng khép đậy; tính khép kín
shy,ʃaɪ,nhút nhát e thẹn
sick,sick,ốm đau bệnh
side,said,mặt mặt phẳng
sideways,´saidwə:dz,ngang từ một bên; sang bên
sight,sait,cảnh đẹp; sự nhìn
sign,sain,dấu dấu hiệu kí hiệu; đánh dấu viết ký hiệu
signal,signəl,dấu hiệu tín hiệu; ra hiệu báo hiệu
signature,ˈsɪgnətʃər ˈsɪgnəˌtʃʊər,chữ ký
significant,sɪgˈnɪfɪkənt,nhiều ý nghĩa quan trọng
significantly,sig'nifikəntli,đáng kể
silence,ˈsaɪləns,sự im lặng sự yên tĩnh
silent,ˈsaɪlənt,im lặng yên tĩnh
silk,silk,tơ (tn+tạo) chỉ lụa
silly,´sili,ngớ ngẩn ngu ngốc khờ dại
silver,silvə,bạc đồng bạc; làm bằng bạc trắng như bạc
similar,´similə,giống như tương tự như
similarly,´similəli,tương tự giống nhau
simple,simpl,đơn đơn giản dễ dàng
simply,´simpli,một cách dễ dàng giản dị
since,sins,từ từ khi; từ khi từ lúc đó; từ đó từ lúc ấy
sincere,sin´siə,thật thà thẳng thắng chân thành
sincerely,sin'siəli,một cách chân thành
sing,siɳ,hát ca hát
singing,´siηiη,sự hát tiếng hát
singer,´siηə,ca sĩ
single,siɳgl,đơn đơn độc đơn lẻ
sink,sɪŋk,chìm lún đắm
sir,sə:,xưng hô lịch sự Ngài Ông
sister,sistə,chị em gái
sit,sit,ngồi
site,sait,chỗ vị trí
situation,sit∫u'ei∫n,hoàn cảnh địa thế vị trí
size,saiz,cỡ
#NAME?,saizd,đã được định cỡ
skilful (BrE) (NAmE skillful),´skilful,tài giỏi khéo tay
skilfully (BrE) (NAmE skillfully),´skilfulli,tài giỏi khéo tay
skill,skil,kỹ năng kỹ sảo
skilled,skild,có kỹ năng có kỹ sảo khẻo tay; có kinh nghiệm lành nghề
skin,skin,da vỏ
skirt,skɜːrt,váy đầm
sky,skaɪ,trời bầu trời
sleep,sli:p,ngủ; giấc ngủ
sleeve,sli:v,tay áo ống tay
slice,slais,miếng lát mỏng; cắt ra thành miếng mỏng lát mỏng
slide,slaid,trượtc chuyển động nhẹ lướt qua
slight,slait,mỏng manh thon gầy
slightly,slaitli,mảnh khảnh mỏng manh yếu ớt
slip,slip,trượt tuột trôi qua chạy qua
slope,sloup,dốc đường dốc độ dốc; nghiêng dốc
slow,slou,chậm chậm chạp
slowly,slouli,một cách chậm chạp chậm dần
small,smɔ:l,nhỏ bé
smart,sma:t,mạnh ác liệt
smash,smæʃ,đập vỡ tan thành mảnh; sự đập vỡ tàn thành mảnh
smell,smɛl,ngửi; sự ngửi khứu giác
smile,smail,cười mỉm cười; nụ cười vẻ tươi cười
smoke,smouk,khói hơi thuốc; hút thuốc bốc khói hơi
smoking,smoukiη,sự hút thuốc
smooth,smu:ð,nhẵn trơn mượt mà
smoothly,smu:ðli,một cách êm ả trôi chảy
snake,sneik,con rắn; người nham hiểm xảo trá
snow,snou,tuyết; tuyết rơi
so,sou,như vậy như thế; vì thế vì vậy vì thế cho nên
soap,soup,xà phòng
social,sou∫l,có tính xã hội
socially,´souʃəli,có tính xã hội
society,sə'saiəti,xã hội
sock,sɔk,tất ngăns miếng lót giày
soft,sɔft,mềm dẻo
softly,sɔftli,một cách mềm dẻo
software,sɔfweз,phần mềm (mtính)
soil,sɔɪl,đất trồng; vết bẩn
soldier,souldʤə,lính quân nhân
solid,sɔlid,rắn; thể rắn chất rắnh
solution,sə'lu:ʃn,sự giải quyết giải pháp
solve,sɔlv,giải giải thích giải quyết
some,sʌm,or
somebody (also someone),sʌmbədi,người nào đó
somehow,´sʌm¸hau,không biết làm sao bằng cách này hay cách khác
something,sʌmθiɳ,một điều gì đó một việc gì đó một cái gì đó
sometimes,´sʌm¸taimz,thỉnh thoảng đôi khi
somewhat,´sʌm¸wɔt,đến mức độ nào đó hơi một chút
somewhere,sʌmweə,nơi nào đó đâu đó
son,sʌn,con trai
song,sɔɳ,bài hát
soon,su:n,sớm chẳng bao lâu nữa
sore,sɔr soʊr,đau nhức
sorry,sɔri,xin lỗi lấy làm tiếc lấy làm buồn
sort,sɔ:t,thứ hạng loại; lựa chọn sắp xếp phân loại
soul,soʊl,tâm hồn tâm trí linh hồn
sound,sound,âm thanh; nghe
soup,su:p,xúp canh cháo
sour,sauə,chua có vị giấm
source,sɔ:s,nguồn
south,sauθ,phương Nam hướng Nam; ở phía Nam; hướng về phía
southern,´sʌðən,thuộc phương Nam
space,speis,khoảng trống khoảng cách
spare,speə,thừa thãi dự trữ rộng rãi; đồ dự trữ đồ dự phòng
speak,spi:k,nói
spoken,spoukn,nói theo 1 cách nào đó
speaker,ˈspikər,người nói người diễn thuyết
special,speʃəl,đặc biệt riêng biệt
specially,´speʃəli,đặc biệt riêng biệt
specialist,spesʃlist,chuyên gia chuyên viên
specific,spi'sifik,đặc trưng riêng biệt
specifically,spi'sifikəli,đặc trưng riêng biệt
speech,spi:tʃ,sự nói khả năng nói lời nói cách nói bài nói
speed,spi:d,tốc độ vận tốc
